DATE,T2M,RH2M,PRECTOTCORR,ALLSKY_SFC_SW_DWN
2023-06-11,14.75,61.77,0.01,3.22
2023-06-12,14.93,75.18,0.2,2.76
2023-06-13,16.1,75.13,0.75,2.0
2023-06-14,14.28,66.19,0.08,3.26
2023-06-15,14.14,64.61,0.0,3.23
2023-06-16,14.77,64.85,0.01,3.21
2023-06-17,14.4,63.52,0.0,3.25
2023-06-18,13.29,67.2,0.0,3.11
2023-06-19,12.73,60.87,0.04,3.23
2023-06-20,12.24,63.45,0.01,3.24
2023-06-21,13.16,63.86,0.0,2.96
2023-06-22,14.07,73.11,1.87,1.79
2023-06-23,14.04,73.83,2.5,3.02
2023-06-24,14.3,62.84,0.02,3.21
2023-06-25,14.85,55.22,0.01,3.22
2023-06-26,15.09,57.82,0.0,3.27
2023-06-27,14.39,61.42,0.0,2.67
2023-06-28,12.56,77.98,2.42,0.64
2023-06-29,12.22,70.2,0.04,3.1
2023-06-30,13.23,68.37,0.01,3.17
2023-07-01,14.51,68.45,0.02,3.12
2023-07-02,14.62,71.57,0.01,2.95
2023-07-03,15.44,77.31,0.02,1.86
2023-07-04,15.07,90.53,3.08,1.05
2023-07-05,15.77,78.62,0.11,2.87
2023-07-06,14.17,64.12,0.02,2.72
2023-07-07,13.68,67.22,0.14,3.16
2023-07-08,14.7,60.9,0.01,3.34
2023-07-09,14.85,63.29,0.02,3.28
2023-07-10,14.79,65.72,0.0,3.39
2023-07-11,14.29,61.0,0.01,3.3
2023-07-12,14.39,71.64,0.01,3.29
2023-07-13,14.41,66.32,0.0,3.47
2023-07-14,15.01,66.32,0.01,3.37
2023-07-15,17.05,64.46,0.01,3.02
2023-07-16,16.1,77.76,1.12,1.21
2023-07-17,16.29,79.55,0.44,2.38
2023-07-18,16.13,73.6,0.13,2.54
2023-07-19,13.55,63.07,0.01,3.53
2023-07-20,13.83,60.76,0.0,3.58
2023-07-21,14.54,62.06,0.26,2.47
2023-07-22,13.45,70.97,0.02,3.27
2023-07-23,14.63,77.21,0.96,2.69
2023-07-24,15.19,78.21,1.93,2.33
2023-07-25,15.37,71.09,0.0,3.32
2023-07-26,15.58,66.71,0.01,3.73
2023-07-27,15.1,72.63,0.0,3.73
2023-07-28,16.69,66.17,0.02,3.08
2023-07-29,17.36,67.25,0.01,2.98
2023-07-30,17.91,70.47,0.01,3.57
2023-07-31,17.21,61.58,0.0,3.91
2023-08-01,15.73,64.21,0.0,3.91
2023-08-02,17.03,70.24,0.03,2.66
2023-08-03,16.09,77.72,0.03,3.93
2023-08-04,16.37,68.44,0.02,3.92
2023-08-05,15.42,77.12,7.2,1.65
2023-08-06,16.09,73.5,0.36,2.09
2023-08-07,14.9,78.43,1.34,2.38
2023-08-08,15.76,71.18,0.07,2.7
2023-08-09,16.53,66.19,0.02,4.11
2023-08-10,16.2,62.09,0.01,3.71
2023-08-11,14.92,60.74,0.0,4.33
2023-08-12,15.39,61.13,0.0,4.18
2023-08-13,14.62,71.61,1.01,2.2
2023-08-14,14.02,81.96,10.9,1.79
2023-08-15,13.69,81.51,3.06,3.36
2023-08-16,14.33,73.54,0.54,3.24
2023-08-17,14.96,66.02,3.6,4.44
2023-08-18,14.56,69.01,0.71,4.22
2023-08-19,14.26,63.1,0.01,4.4
2023-08-20,16.59,66.96,0.0,4.61
2023-08-21,16.6,67.72,0.01,4.53
2023-08-22,17.58,69.73,0.99,3.82
2023-08-23,15.65,74.77,0.57,4.03
2023-08-24,16.09,69.9,0.1,4.11
2023-08-25,15.41,68.0,0.0,4.85
2023-08-26,16.72,68.72,0.0,4.02
2023-08-27,16.63,72.01,0.03,4.69
2023-08-28,16.56,75.51,3.41,4.59
2023-08-29,16.91,76.36,0.39,4.92
2023-08-30,17.67,72.27,7.65,4.62
2023-08-31,15.75,82.13,0.57,4.04
2023-09-01,15.12,68.61,0.06,3.7
2023-09-02,14.82,71.05,0.04,4.61
2023-09-03,15.37,70.88,0.0,4.67
2023-09-04,16.43,78.36,0.01,4.78
2023-09-05,18.27,56.82,0.11,5.51
2023-09-06,16.35,59.93,0.01,5.69
2023-09-07,18.59,74.09,0.14,4.98
2023-09-08,17.43,62.51,1.84,2.15
2023-09-09,14.1,52.49,0.28,5.82
2023-09-10,14.26,55.75,0.0,5.57
2023-09-11,15.66,61.46,0.0,5.14
2023-09-12,16.45,65.53,0.0,4.62
2023-09-13,16.81,68.38,0.0,5.64
