DATE,T2M,RH2M,PRECTOTCORR,ALLSKY_SFC_SW_DWN
2024-06-10,24.81,84.83,14.18,3.65
2024-06-11,24.92,81.66,8.31,4.01
2024-06-12,25.0,84.35,7.56,5.36
2024-06-13,25.5,81.12,11.46,4.96
2024-06-14,25.19,85.85,8.72,4.34
2024-06-15,25.92,82.33,2.35,5.07
2024-06-16,26.06,81.04,2.17,5.98
2024-06-17,25.58,82.74,2.64,5.19
2024-06-18,25.33,81.85,9.39,5.19
2024-06-19,24.77,86.39,12.99,4.22
2024-06-20,25.44,87.64,24.04,2.98
2024-06-21,25.91,86.95,12.67,3.43
2024-06-22,26.47,84.33,9.58,5.11
2024-06-23,25.06,87.1,10.92,4.87
2024-06-24,25.37,81.43,6.47,4.78
2024-06-25,24.82,88.93,13.0,4.73
2024-06-26,25.29,91.01,18.78,3.41
2024-06-27,24.33,87.58,18.9,3.23
2024-06-28,23.7,91.4,28.34,2.75
2024-06-29,25.29,87.39,15.14,3.93
2024-06-30,25.12,88.39,15.81,2.41
2024-07-01,25.54,86.75,20.81,3.66
2024-07-02,25.44,88.42,26.42,3.24
2024-07-03,25.53,86.14,6.51,3.91
2024-07-04,25.24,87.55,7.6,3.61
2024-07-05,25.51,86.83,12.41,3.28
2024-07-06,25.29,88.57,24.73,3.44
2024-07-07,25.08,90.62,33.72,2.73
2024-07-08,24.86,91.27,34.67,2.04
2024-07-09,23.46,89.29,21.69,3.28
2024-07-10,23.52,88.07,8.71,4.72
2024-07-11,24.31,87.84,4.32,3.63
2024-07-12,24.46,90.49,48.07,1.99
2024-07-13,24.26,93.89,64.9,1.77
2024-07-14,24.45,93.58,47.45,1.87
2024-07-15,23.75,90.56,18.6,3.47
2024-07-16,22.85,89.92,6.98,3.32
2024-07-17,24.03,91.98,21.26,3.08
2024-07-18,24.16,93.08,31.23,2.35
2024-07-19,24.1,92.52,30.94,2.49
2024-07-20,23.85,95.11,42.66,2.47
2024-07-21,24.14,94.38,53.32,2.01
2024-07-22,23.5,95.11,49.7,1.61
2024-07-23,23.7,95.38,67.95,2.35
2024-07-24,23.53,95.59,82.6,1.83
2024-07-25,22.8,94.87,125.97,1.0
2024-07-26,23.42,93.56,32.11,2.49
2024-07-27,23.58,93.84,16.61,2.35
2024-07-28,23.18,95.18,21.94,2.01
2024-07-29,23.83,93.5,33.27,1.92
2024-07-30,24.14,92.48,33.79,2.49
2024-07-31,24.43,92.79,19.25,3.45
2024-08-01,24.11,93.98,26.05,3.5
2024-08-02,23.55,94.82,28.65,4.04
2024-08-03,23.25,95.22,61.46,2.6
2024-08-04,23.29,95.41,38.81,2.01
2024-08-05,23.56,93.16,17.23,3.77
2024-08-06,23.6,92.25,11.41,3.6
2024-08-07,23.68,92.04,8.94,2.69
2024-08-08,23.82,91.2,7.59,2.49
2024-08-09,24.0,91.09,9.15,2.48
2024-08-10,23.88,91.64,9.13,3.97
2024-08-11,23.74,91.87,7.13,4.18
2024-08-12,24.08,90.96,2.95,3.03
2024-08-13,24.47,90.18,1.45,5.16
2024-08-14,24.59,89.24,0.16,4.81
2024-08-15,24.56,89.94,1.03,5.29
2024-08-16,24.52,90.22,2.21,4.96
2024-08-17,24.88,87.93,25.82,3.75
2024-08-18,25.2,90.74,91.08,4.02
2024-08-19,25.24,90.68,21.86,2.85
2024-08-20,25.04,90.83,9.79,4.79
2024-08-21,24.83,89.57,2.53,4.32
2024-08-22,25.53,88.54,5.15,5.14
2024-08-23,24.73,91.4,19.69,3.05
2024-08-24,23.63,95.26,56.66,1.22
2024-08-25,23.26,94.44,37.34,2.85
2024-08-26,23.79,94.64,32.96,1.94
2024-08-27,23.81,92.69,21.23,4.03
2024-08-28,23.55,93.22,14.03,3.27
2024-08-29,23.85,92.34,5.32,4.1
2024-08-30,23.82,92.11,5.95,5.28
2024-08-31,23.52,92.74,3.49,4.82
2024-09-01,23.28,93.89,3.92,1.37
2024-09-02,21.84,94.33,15.01,0.92
2024-09-03,22.16,94.64,11.51,3.11
2024-09-04,24.03,92.64,21.15,3.75
2024-09-05,23.93,93.15,23.09,3.94
2024-09-06,23.92,91.92,11.11,3.62
2024-09-07,23.66,91.99,11.12,3.57
2024-09-08,23.74,92.15,5.1,4.87
2024-09-09,24.09,91.36,7.51,4.31
2024-09-10,23.47,92.11,7.52,4.83
2024-09-11,23.32,91.21,8.58,3.93
2024-09-12,23.15,91.38,5.07,3.1
2024-09-13,22.5,91.58,1.71,4.99
2024-09-14,22.81,90.74,6.72,3.61
2024-09-15,22.99,90.23,8.73,2.88
2024-09-16,22.21,89.59,2.06,5.67
2024-09-17,22.09,89.74,1.39,5.76
2024-09-18,22.05,87.24,0.37,5.52
2024-09-19,22.54,86.22,0.01,5.15
2024-09-20,23.34,87.37,0.68,4.68
2024-09-21,23.89,90.1,4.05,4.92
2024-09-22,24.4,90.08,9.86,4.94
2024-09-23,24.71,91.4,15.16,4.29
2024-09-24,24.15,95.37,25.2,4.33
2024-09-25,23.77,96.3,100.15,2.67
2024-09-26,23.77,94.82,51.88,3.72
2024-09-27,23.24,94.27,28.71,2.97
2024-09-28,23.2,92.44,6.87,3.1
2024-09-29,23.47,91.41,1.3,5.12
2024-09-30,24.53,85.15,0.48,5.14
2024-10-01,25.31,86.5,2.06,5.45
2024-10-02,25.54,88.83,4.84,5.74
2024-10-03,24.51,90.25,0.4,5.71
2024-10-04,23.74,89.81,0.08,5.52
2024-10-05,23.61,87.55,0.01,5.38
2024-10-06,24.01,86.84,4.91,4.72
2024-10-07,24.04,84.64,0.13,5.83
2024-10-08,23.94,86.37,1.93,3.91
2024-10-09,23.26,89.96,4.01,3.81
2024-10-10,23.73,90.03,16.72,4.26
2024-10-11,24.3,89.18,12.44,3.91
2024-10-12,24.84,88.64,0.63,4.27
2024-10-13,25.07,87.1,13.13,5.04
2024-10-14,24.73,86.74,4.08,5.22
2024-10-15,24.92,88.38,11.05,4.78
2024-10-16,24.65,88.43,8.67,4.41
2024-10-17,24.32,89.48,2.18,4.0
2024-10-18,24.27,89.17,3.51,4.69
2024-10-19,24.29,90.76,5.57,4.47
2024-10-20,23.57,86.87,13.89,5.02
2024-10-21,23.54,83.91,1.24,3.13
2024-10-22,24.44,84.81,4.49,4.86
2024-10-23,24.11,86.23,1.91,5.41
2024-10-24,23.43,81.69,0.0,5.09
2024-10-25,22.29,77.24,0.0,5.52
2024-10-26,21.89,80.55,0.0,5.55
2024-10-27,22.01,80.11,0.0,5.58
2024-10-28,22.71,82.35,0.0,5.53
2024-10-29,22.64,80.67,0.89,4.88
2024-10-30,23.02,77.42,0.31,5.2
2024-10-31,23.28,81.2,0.07,5.09
2024-11-01,22.89,79.99,0.22,5.09
