DATE,T2M,RH2M,PRECTOTCORR,ALLSKY_SFC_SW_DWN
2023-06-11,20.83,75.1,0.47,4.96
2023-06-12,20.55,79.19,3.01,5.17
2023-06-13,18.53,72.82,0.52,7.86
2023-06-14,18.08,72.9,0.02,8.16
2023-06-15,18.44,73.84,0.06,7.56
2023-06-16,18.36,69.32,0.05,7.57
2023-06-17,18.2,74.46,0.24,5.06
2023-06-18,18.86,88.94,26.04,3.97
2023-06-19,18.26,79.9,0.31,6.6
2023-06-20,18.47,86.44,6.48,3.55
2023-06-21,18.78,78.6,0.25,6.59
2023-06-22,19.83,76.85,0.3,6.59
2023-06-23,19.83,74.74,0.06,6.48
2023-06-24,20.71,76.67,0.04,5.71
2023-06-25,21.1,72.28,0.01,7.32
2023-06-26,17.34,70.18,0.04,6.35
2023-06-27,17.59,75.15,0.04,3.06
2023-06-28,19.54,81.82,0.49,2.54
2023-06-29,17.79,76.9,5.79,5.88
2023-06-30,16.44,78.92,1.05,3.05
2023-07-01,18.16,72.58,0.25,4.72
2023-07-02,16.15,65.02,0.01,5.8
2023-07-03,15.67,68.68,0.53,4.85
2023-07-04,14.92,81.16,13.12,2.2
2023-07-05,15.2,74.93,1.27,5.43
2023-07-06,15.97,71.36,0.06,5.78
2023-07-07,19.71,68.79,0.0,8.05
2023-07-08,20.84,78.3,3.02,3.3
2023-07-09,18.11,78.34,0.64,5.22
2023-07-10,18.5,74.84,0.19,4.52
2023-07-11,18.39,77.41,0.83,4.2
2023-07-12,17.31,73.81,1.0,5.37
2023-07-13,17.1,76.08,0.97,4.42
2023-07-14,16.63,87.73,12.83,1.29
2023-07-15,17.45,77.21,1.66,5.32
2023-07-16,16.72,73.14,0.32,5.07
2023-07-17,16.93,72.92,0.67,6.45
2023-07-18,17.09,72.68,0.33,4.8
2023-07-19,17.5,76.25,0.81,4.96
2023-07-20,17.28,70.85,0.32,5.38
2023-07-21,16.27,70.39,0.39,4.48
2023-07-22,15.78,83.1,9.0,1.99
2023-07-23,19.1,78.18,0.93,5.26
2023-07-24,15.95,82.14,4.12,2.67
2023-07-25,15.31,73.41,1.97,5.19
2023-07-26,15.91,74.45,8.7,5.13
2023-07-27,19.29,85.94,4.04,3.76
2023-07-28,18.84,79.75,0.33,3.95
2023-07-29,18.49,72.19,0.5,5.76
2023-07-30,17.22,82.22,5.2,3.24
2023-07-31,17.58,81.27,1.94,2.48
2023-08-01,17.39,76.4,1.69,5.14
2023-08-02,17.47,84.24,15.35,3.86
2023-08-03,17.01,76.53,1.94,4.13
2023-08-04,16.71,79.78,1.79,3.33
2023-08-05,14.93,85.44,10.94,2.61
2023-08-06,14.49,77.15,2.41,5.23
2023-08-07,15.66,74.43,0.04,5.55
2023-08-08,15.06,87.65,3.17,2.22
2023-08-09,17.61,76.17,0.14,6.26
2023-08-10,19.26,78.6,0.01,5.77
2023-08-11,19.61,82.29,0.28,5.07
2023-08-12,18.12,78.01,0.25,4.1
2023-08-13,18.21,77.71,0.38,3.63
2023-08-14,18.57,83.92,4.04,3.13
2023-08-15,18.01,75.62,0.07,5.17
2023-08-16,18.6,75.59,0.04,5.37
2023-08-17,18.7,76.97,0.14,4.75
2023-08-18,19.45,87.84,7.44,3.15
2023-08-19,19.82,79.35,1.58,4.93
2023-08-20,18.76,77.11,0.09,5.15
2023-08-21,18.18,76.89,0.03,5.08
2023-08-22,19.09,75.9,0.04,5.45
2023-08-23,19.52,73.74,0.03,5.33
2023-08-24,19.97,83.5,6.64,3.83
2023-08-25,16.17,70.95,1.09,4.22
2023-08-26,15.23,81.09,2.82,3.77
2023-08-27,14.79,79.84,1.83,3.8
2023-08-28,15.18,78.09,0.27,3.65
2023-08-29,15.77,76.93,0.67,3.75
2023-08-30,14.89,75.82,0.75,4.18
2023-08-31,14.61,83.71,2.05,2.19
2023-09-01,18.79,81.34,3.1,3.31
2023-09-02,18.66,84.0,0.55,3.79
2023-09-03,18.79,80.5,0.05,5.11
2023-09-04,19.67,77.91,0.1,5.56
2023-09-05,20.23,80.49,0.12,5.33
2023-09-06,21.3,80.45,0.05,4.71
2023-09-07,21.91,75.4,0.06,4.93
2023-09-08,22.07,68.33,0.01,3.88
2023-09-09,24.07,63.89,0.0,4.67
2023-09-10,21.91,81.44,0.43,2.73
2023-09-11,20.12,78.3,0.09,3.37
2023-09-12,18.74,83.87,3.75,1.94
2023-09-13,16.29,77.91,0.58,3.49
2023-09-14,16.8,77.69,0.02,3.94
2023-09-15,17.98,79.37,0.05,4.1
2023-09-16,18.68,81.65,0.15,3.06
2023-09-17,17.86,88.94,3.97,1.32
2023-09-18,16.99,78.3,3.99,2.82
2023-09-19,16.63,84.93,1.58,1.38
2023-09-20,17.82,83.62,11.81,0.97
2023-09-21,13.88,83.84,3.77,3.46
2023-09-22,13.13,80.15,1.48,3.49
2023-09-23,12.6,76.06,0.1,3.63
2023-09-24,16.59,77.32,0.41,2.05
2023-09-25,17.0,79.21,0.2,3.84
2023-09-26,17.13,86.49,1.18,3.19
2023-09-27,16.83,87.48,0.56,1.7
2023-09-28,16.25,79.09,2.47,1.73
2023-09-29,16.0,78.24,0.78,4.0
2023-09-30,14.52,81.01,0.01,2.39
2023-10-01,17.63,90.37,0.21,1.76
2023-10-02,17.24,92.03,2.47,1.29
2023-10-03,14.47,78.54,0.89,3.27
2023-10-04,13.25,81.92,0.1,2.47
2023-10-05,14.51,78.45,0.05,2.19
2023-10-06,16.24,82.36,0.06,2.88
2023-10-07,17.38,78.56,0.02,2.83
2023-10-08,16.59,79.28,0.0,3.04
2023-10-09,15.68,83.92,0.0,2.89
2023-10-10,16.11,81.8,0.09,2.44
2023-10-11,16.02,85.65,7.05,1.24
2023-10-12,14.64,92.29,7.98,1.2
2023-10-13,16.45,86.82,9.28,1.86
2023-10-14,9.0,82.11,0.3,2.86
2023-10-15,6.46,72.72,0.02,3.28
2023-10-16,7.9,79.86,0.02,1.81
2023-10-17,10.84,73.4,0.0,2.72
2023-10-18,12.9,89.67,10.78,0.93
2023-10-19,15.67,91.88,9.58,1.41
2023-10-20,13.66,95.88,14.29,1.16
2023-10-21,12.32,93.72,6.46,1.18
2023-10-22,9.66,89.2,0.67,2.51
2023-10-23,10.29,94.89,0.47,1.46
2023-10-24,10.42,90.31,3.49,2.12
2023-10-25,10.48,91.63,3.62,1.78
2023-10-26,11.36,92.46,3.12,1.9
2023-10-27,9.99,96.23,3.37,1.79
2023-10-28,12.12,91.64,10.72,1.72
2023-10-29,10.82,90.95,6.24,1.15
2023-10-30,9.98,95.66,4.97,1.87
2023-10-31,10.36,93.93,5.56,1.37
2023-11-01,11.75,89.28,8.17,1.37
2023-11-02,10.41,88.76,17.22,0.65
2023-11-03,9.13,90.25,1.07,1.53
2023-11-04,9.29,93.52,10.9,1.16
2023-11-05,8.89,90.63,0.67,1.69
2023-11-06,9.12,90.43,0.43,1.79
2023-11-07,7.87,91.54,0.19,1.65
2023-11-08,8.77,93.98,5.54,0.58
2023-11-09,7.28,92.73,2.39,1.44
2023-11-10,6.84,93.1,1.89,1.09
2023-11-11,5.55,93.39,0.56,1.8
2023-11-12,7.42,95.59,1.5,0.66
2023-11-13,11.87,88.37,10.25,1.2
2023-11-14,10.27,94.67,6.51,0.43
2023-11-15,7.68,92.3,2.28,1.63
2023-11-16,5.43,97.15,4.02,0.39
2023-11-17,6.16,95.88,1.8,1.43
2023-11-18,11.79,95.83,6.59,0.45
2023-11-19,10.95,91.42,0.68,0.75
2023-11-20,9.22,92.53,1.66,1.03
2023-11-21,8.33,94.28,0.77,0.63
2023-11-22,7.06,94.99,0.21,0.6
2023-11-23,9.83,92.63,0.15,1.19
2023-11-24,4.88,78.67,0.01,1.06
2023-11-25,0.67,90.03,0.01,1.52
2023-11-26,3.7,95.72,4.91,0.47
2023-11-27,6.64,96.23,6.35,0.55
2023-11-28,2.96,93.93,0.6,1.04
2023-11-29,0.19,94.68,0.27,0.95
2023-11-30,0.11,94.5,0.14,0.93
2023-12-01,-0.54,96.88,0.29,0.94
2023-12-02,-1.56,97.46,0.27,0.89
2023-12-03,5.42,95.67,9.34,0.39
2023-12-04,5.12,96.65,9.11,0.4
2023-12-05,3.95,96.98,1.46,0.46
2023-12-06,2.1,96.05,0.31,0.97
2023-12-07,5.71,94.16,8.49,0.22
2023-12-08,7.51,97.27,0.42,0.8
2023-12-09,9.07,90.21,11.64,0.65
2023-12-10,8.18,94.14,4.57,0.48
2023-12-11,7.48,93.14,0.38,0.92
2023-12-12,9.12,97.21,7.49,0.54
2023-12-13,5.91,95.45,1.19,0.46
2023-12-14,4.13,96.71,0.48,0.62
2023-12-15,4.46,95.92,0.04,0.56
2023-12-16,8.17,96.78,0.43,0.76
2023-12-17,8.28,93.53,0.1,0.65
2023-12-18,9.78,94.47,0.87,0.38
2023-12-19,8.93,95.98,10.63,0.2
2023-12-20,7.2,94.64,3.66,0.55
2023-12-21,9.79,85.33,0.22,0.53
2023-12-22,8.77,87.91,0.31,0.45
2023-12-23,8.93,90.58,0.18,0.62
2023-12-24,11.73,92.63,1.01,0.24
2023-12-25,11.16,94.43,3.9,0.29
2023-12-26,6.37,93.31,0.32,0.76
2023-12-27,9.47,93.64,5.29,0.22
2023-12-28,10.16,87.47,1.81,0.56
2023-12-29,7.96,94.01,0.73,0.63
2023-12-30,8.51,94.61,1.73,0.32
2023-12-31,7.93,90.76,6.73,0.57
2024-01-01,7.56,91.06,12.31,0.6
2024-01-02,10.54,93.28,6.39,0.27
2024-01-03,8.6,92.54,1.68,0.74
2024-01-04,6.85,95.15,16.64,0.5
2024-01-05,4.98,95.79,3.44,0.75
2024-01-06,3.03,95.33,0.37,0.86
2024-01-07,1.08,89.17,0.07,0.98
2024-01-08,0.7,83.57,0.61,0.51
2024-01-09,-0.63,83.52,0.01,1.23
2024-01-10,-0.59,87.49,0.02,1.32
